emp_title,emp_length,home_ownership,annual_inc,verification_status,addr_state,avg_cur_bal,Tot_cur_bal,loan_status,loan_amount,state,funded_amount,term,int_rate,installment,grade,pymnt_plan,type,purpose,description
Driver,5 years,MORTGAGE,48000,Not Verified,FL,2122,14851,Current,9000,FL,9000, 36 months,0.0532,271.04001,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Resident Regional Manager,10+ years,RENT,125000,Source Verified,CT,9352,74818,Current,2500,CT,2500, 36 months,0.1446,86.010002,C,false,INDIVIDUAL,moving,Moving and relocation
Assistant Product Manager,< 1 year,RENT,47000,Source Verified,NV,11963,47851,Current,12000,NV,12000, 36 months,0.0916,382.5,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
grocery manager,10+ years,MORTGAGE,74000,Verified,TX,23208,232080,Fully Paid,21000,TX,21000, 60 months,0.1806,533.95001,D,false,Individual,debt_consolidation,Debt consolidation
Transportation ,10+ years,RENT,65800,Verified,WI,2912,23295,Fully Paid,14000,WI,14000, 36 months,0.1333,473.95001,C,false,Individual,debt_consolidation,Debt consolidation
Travel Counselor,3 years,RENT,30000,Verified,NE,1353,6763,Fully Paid,7000,NE,7000, 36 months,0.1399,239.21001,C,false,Individual,debt_consolidation,Debt consolidation
Sr. Merchandise Manager,< 1 year,MORTGAGE,100000,Not Verified,OR,25586,281441,Current,24000,OR,24000, 36 months,0.0735,744.90002,A,false,Joint App,credit_card,Credit card refinancing
Manager-Applications,3 years,MORTGAGE,111000,Source Verified,TX,69575,347874,Fully Paid,15000,TX,15000, 60 months,0.1153,330.12,B,false,Individual,debt_consolidation,Debt consolidation
Industrial Engineer,2 years,OWN,72000,Source Verified,MS,3027,69614,Fully Paid,6500,MS,6500, 36 months,0.0839,204.86,A,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Assistant Manager,8 years,RENT,85000,Source Verified,OR,2813,50634,Current,28000,OR,28000, 60 months,0.2569,833.21002,F,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Manager,4 years,RENT,75000,Not Verified,CA,2392,28700,Current,15000,CA,15000, 36 months,0.0808,470.60001,A,false,Individual,credit_card,Credit card refinancing
International trade compliance officer,10+ years,OWN,70000,Verified,MA,1954,23442,Current,8000,MA,8000, 36 months,0.1279,268.75,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Social Worker,4 years,MORTGAGE,62985,Verified,CA,19225,192250,Current,12000,CA,12000, 36 months,0.0993,386.82001,B,false,Individual,debt_consolidation,Debt consolidation
Senior Legal Secretary,7 years,MORTGAGE,35000,Not Verified,NM,14114,155249,Fully Paid,2500,NM,2500, 36 months,0.118,82.800003,B,false,Joint App,major_purchase,Major purchase
Behavior modufacation assistant,5 years,RENT,30000,Not Verified,MN,4022,40227,Current,6000,MN,6000, 36 months,0.1894,219.75999,D,false,Individual,credit_card,Credit card refinancing
Teacher,10+ years,MORTGAGE,93000,Verified,MA,10632,255176,Charged Off,25000,MA,25000, 60 months,0.0917,521.03003,B,false,Individual,credit_card,Credit card refinancing
Registered Nurse,1 year,RENT,47000,Source Verified,SC,4893,78287,Fully Paid,9600,SC,9600, 36 months,0.1099,314.25,B,false,Individual,debt_consolidation,Debt consolidation
Clipper Offbearer,10+ years,MORTGAGE,42000,Not Verified,NC,2470,27172,Fully Paid,2000,NC,2000, 36 months,0.1049,65,B,false,Individual,credit_card,Credit card refinancing
Senior operations director,3 years,MORTGAGE,185000,Not Verified,CA,18931,397544,Charged Off,7000,CA,7000, 36 months,0.0824,220.14,B,false,Individual,vacation,Vacation
Store Manager,10+ years,MORTGAGE,50000,Not Verified,CA,13372,160458,Fully Paid,8400,CA,8400, 36 months,0.0532,252.97,A,false,Individual,debt_consolidation,Debt consolidation
Site Manager,10+ years,MORTGAGE,83000,Not Verified,NJ,9620,153913,Current,10000,NJ,10000, 36 months,0.124,334.06,B,false,Individual,debt_consolidation,Debt consolidation
Warehouse A,6 years,MORTGAGE,40000,Verified,WI,9304,139556,Current,36000,WI,36000, 36 months,0.1262,1206.41,C,false,Joint App,credit_card,Credit card refinancing
JV-District Manager,1 year,MORTGAGE,87000,Source Verified,MI,67213,336067,Fully Paid,15000,MI,15000, 60 months,0.1333,343.84,C,false,Individual,other,Other
Press  operator ,2 years,OWN,30000,Source Verified,OH,2156,10778,Current,9000,OH,9000, 36 months,0.1799,325.32999,D,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Dispensing Technician,< 1 year,RENT,35000,Verified,NH,2123,31844,Fully Paid,3200,NH,3200, 36 months,0.0944,102.42,B,false,Individual,debt_consolidation,Debt consolidation
Developer,4 years,RENT,50000,Verified,TX,5973,53760,Current,14000,TX,14000, 36 months,0.1078,456.89001,B,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Manager,1 year,MORTGAGE,50000,Source Verified,FL,5891,94263,Current,20000,FL,20000, 60 months,0.2235,556.37,D,false,Joint App,debt_consolidation,Debt consolidation
RN,2 years,MORTGAGE,70000,Not Verified,AL,9080,236069,Current,23525,AL,23525, 60 months,0.2449,683.47998,E,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Sr. accounting manager,3 years,RENT,82400,Verified,FL,7039,112622,Current,25600,FL,25600, 60 months,0.1335,587.08002,C,false,INDIVIDUAL,debt_consolidation,Debt consolidation
Maintenance,10+ years,MORTGAGE,80000,Not Verified,OK,31258,187545,Current,12000,OK,12000, 36 months,0.0532,361.38,A,false,Individual,debt_consolidation,Debt consolidation
Interpreter,7 years,RENT,45000,Source Verified,MO,2594,25938,Current,4000,MO,4000, 36 months,0.0881,126.85,A,false,Individual,debt_consolidation,Debt consolidation
Sr. Object-Oriented Programmer (Java),10+ years,RENT,125000,Verified,TX,7148,78623,Fully Paid,36000,TX,36000, 36 months,0.0724,1115.54,A,false,Individual,debt_consolidation,Debt consolidation
Pincipal,1 year,MORTGAGE,85000,Source Verified,MO,18450,387455,Current,6000,MO,6000, 36 months,0.0881,190.27,A,false,Individual,credit_card,Credit card refinancing
DBL Limited,6 years,RENT,87360,Source Verified,CA,3740,48616,Fully Paid,14400,CA,14400, 36 months,0.0762,448.73001,A,false,INDIVIDUAL,credit_card,Credit Card Consolidation
mechanic,< 1 year,MORTGAGE,45000,Not Verified,FL,23593,165154,Fully Paid,6575,FL,6575, 36 months,0.1714,234.88,D,false,Individual,home_improvement,Home improvement
clerk,10+ years,MORTGAGE,58000,Not Verified,CA,37606,376061,Current,6000,CA,6000, 36 months,0.1042,194.78999,B,false,Individual,debt_consolidation,Debt consolidation
Process tech,10+ years,RENT,62000,Not Verified,WI,7495,29978,Fully Paid,2400,WI,2400, 36 months,0.1049,78,B,false,Individual,vacation,Vacation
Sales,10+ years,OWN,140000,Source Verified,NJ,7214,115419,Fully Paid,12500,NJ,12500, 36 months,0.2388,489.63,E,false,Individual,debt_consolidation,Debt consolidation
